2025-08-27 08:53:14 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 08:59:15 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 08:59:52 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:04:23 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:04:27 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:04:33 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:04:48 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:04:50 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:03 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:04 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:12 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:14 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:32 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:33 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:38 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:39 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:45 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:45 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:05:56 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:05:57 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:06:33 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:06:34 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:06:48 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:06:49 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:06:53 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:06:54 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:07:02 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:07:04 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:07:10 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:07:12 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:07:45 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:07:46 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:03 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:04 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:14 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:15 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:26 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:28 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:35 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:38 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:41 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:43 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:46 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:47 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:08:53 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:08:55 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:02 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:05 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:13 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:15 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:22 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:24 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:28 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:31 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:41 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:42 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:09:50 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:09:52 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:10:02 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:10:03 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-27 09:10:14 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:10:23 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:10:31 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:15:04 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:15:24 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:26:39 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 09:57:07 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:04:51 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:06:11 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:06:22 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:06:31 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:07:07 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:07:22 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:07:39 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:08:13 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:08:39 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:10:49 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:18:35 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:18:41 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:18:48 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:18:53 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:01 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:05 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:14 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:25 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:41 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:19:58 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:20:02 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:20:16 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:22:46 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:54:30 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:54:44 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:54:59 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:57:37 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:58:23 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:58:33 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:58:44 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 10:59:59 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:38:13 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:38:18 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:38:46 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:38:56 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:39:04 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:39:12 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-27 11:39:30 | INFO     | rexus           | Sistema de logging Rexus inicializado
