2025-08-18 07:56:27 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:56:27 | INFO     | rexus.test      | Test logging message
2025-08-18 07:56:36 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:56:36 | INFO     | rexus.core.database | Intentando conectar a la base de datos
2025-08-18 07:56:36 | INFO     | rexus.core.database | Servidor: ITACHI\SQLEXPRESS
2025-08-18 07:56:36 | INFO     | rexus.core.database | Base de datos: inventario
2025-08-18 07:56:36 | INFO     | rexus.core.database | Driver: ODBC Driver 17 for SQL Server
2025-08-18 07:56:36 | INFO     | rexus.core.database | Usuario: sa
2025-08-18 07:56:36 | DEBUG    | rexus.core.database | String de conexión: DRIVER={ODBC Driver 17 for SQL Server};SERVER=ITACHI\SQLEXPRESS;DATABASE=inventario;UID=sa;PWD=******;TrustServerCertificate=yes;
2025-08-18 07:56:37 | INFO     | rexus.core.database | Conexión exitosa OK
2025-08-18 07:56:37 | INFO     | rexus.core.database | Cambiado a base de datos: users
2025-08-18 07:56:46 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:56:49 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-18 07:57:13 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:57:35 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:57:35 | WARNING  | rexus.modules.usuarios.submodules.auth_manager | Security utilities not fully available
2025-08-18 07:57:35 | DEBUG    | rexus.utils.sql_query_manager | [SQL_MANAGER] Consulta cargada: usuarios.obtener_usuario_login desde D:\martin\Rexus.app\sql\usuarios\obtener_usuario_login.sql
2025-08-18 07:58:13 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:58:13 | INFO     | rexus.core.database | Intentando conectar a la base de datos
2025-08-18 07:58:13 | INFO     | rexus.core.database | Servidor: ITACHI\SQLEXPRESS
2025-08-18 07:58:13 | INFO     | rexus.core.database | Base de datos: inventario
2025-08-18 07:58:13 | INFO     | rexus.core.database | Driver: ODBC Driver 17 for SQL Server
2025-08-18 07:58:13 | INFO     | rexus.core.database | Usuario: sa
2025-08-18 07:58:13 | DEBUG    | rexus.core.database | String de conexión: DRIVER={ODBC Driver 17 for SQL Server};SERVER=ITACHI\SQLEXPRESS;DATABASE=inventario;UID=sa;PWD=******;TrustServerCertificate=yes;
2025-08-18 07:58:13 | INFO     | rexus.core.database | Conexión exitosa OK
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | SQLQueryManager inicializado correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'libro_contable' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'recibos' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'pagos_obra' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'pagos_materiales' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'departamentos' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.startup_test | Application startup simulation successful
2025-08-18 07:58:25 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:58:26 | INFO     | rexus.vidrios.model | Sistema unificado de sanitización cargado
2025-08-18 07:58:26 | INFO     | rexus.core.database | Intentando conectar a la base de datos
2025-08-18 07:58:26 | INFO     | rexus.core.database | Servidor: ITACHI\SQLEXPRESS
2025-08-18 07:58:26 | INFO     | rexus.core.database | Base de datos: inventario
2025-08-18 07:58:26 | INFO     | rexus.core.database | Driver: ODBC Driver 17 for SQL Server
2025-08-18 07:58:26 | INFO     | rexus.core.database | Usuario: sa
2025-08-18 07:58:26 | DEBUG    | rexus.core.database | String de conexión: DRIVER={ODBC Driver 17 for SQL Server};SERVER=ITACHI\SQLEXPRESS;DATABASE=inventario;UID=sa;PWD=******;TrustServerCertificate=yes;
2025-08-18 07:58:26 | INFO     | rexus.core.database | Conexión exitosa OK
2025-08-18 07:58:26 | INFO     | rexus.core.database | Cambiado a base de datos: users
2025-08-18 07:58:26 | DEBUG    | rexus.utils.sql_query_manager | [SQL_MANAGER] Consulta cargada: common.verificar_tabla_sqlite desde D:\martin\Rexus.app\sql\common\verificar_tabla_sqlite.sql
2025-08-18 07:58:51 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 07:58:51 | DEBUG    | rexus.utils.sql_query_manager | [SQL_MANAGER] Consulta cargada: usuarios.obtener_usuario_login desde D:\martin\Rexus.app\sql\usuarios\obtener_usuario_login.sql
2025-08-18 08:09:36 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 08:09:36 | INFO     | rexus.utils.error_recovery | Error Recovery Manager initialized
2025-08-18 08:09:36 | WARNING  | rexus.utils.error_recovery | Error in test_operation (attempt 1): ConnectionError - Simulated connection error
2025-08-18 08:09:36 | INFO     | rexus.utils.error_recovery | Retrying test_operation in 1.0s (attempt 2)
2025-08-18 08:09:37 | WARNING  | rexus.utils.error_recovery | Error in test_operation (attempt 2): ConnectionError - Simulated connection error
2025-08-18 08:09:37 | INFO     | rexus.utils.error_recovery | Retrying test_operation in 2.0s (attempt 3)
2025-08-18 08:09:39 | INFO     | rexus.utils.error_recovery | Recovery successful for test_operation after 2 attempts
2025-08-18 08:10:05 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 08:10:05 | INFO     | rexus.utils.error_recovery | Error Recovery Manager initialized
2025-08-18 08:10:06 | WARNING  | rexus.utils.error_recovery | Error in operacion_critica (attempt 1): RuntimeError - Falla simulada en operación crítica
2025-08-18 08:10:06 | INFO     | rexus.utils.error_recovery | Retrying operacion_critica in 0.5s (attempt 2)
2025-08-18 08:10:06 | WARNING  | rexus.utils.error_recovery | Error in operacion_critica (attempt 2): RuntimeError - Falla simulada en operación crítica
2025-08-18 08:10:06 | INFO     | rexus.utils.error_recovery | Retrying operacion_critica in 0.8s (attempt 3)
2025-08-18 08:10:07 | INFO     | rexus.utils.error_recovery | Recovery successful for operacion_critica after 2 attempts
2025-08-18 08:10:07 | INFO     | rexus.utils.error_recovery | Recovery log exported to recovery_log.csv
2025-08-18 08:16:06 | INFO     | rexus           | Sistema de logging Rexus inicializado
2025-08-18 08:16:06 | INFO     | rexus.utils.backup_recovery | Backup Recovery Manager initialized - Directory: backups
2025-08-18 08:16:06 | INFO     | rexus.utils.backup_recovery | Starting full backup: full_20250818_081606
2025-08-18 08:16:06 | INFO     | rexus.core.database | Intentando conectar a la base de datos
2025-08-18 08:16:06 | INFO     | rexus.core.database | Servidor: ITACHI\SQLEXPRESS
2025-08-18 08:16:06 | INFO     | rexus.core.database | Base de datos: inventario
2025-08-18 08:16:06 | INFO     | rexus.core.database | Driver: ODBC Driver 17 for SQL Server
2025-08-18 08:16:06 | INFO     | rexus.core.database | Usuario: sa
2025-08-18 08:16:06 | DEBUG    | rexus.core.database | String de conexión: DRIVER={ODBC Driver 17 for SQL Server};SERVER=ITACHI\SQLEXPRESS;DATABASE=inventario;UID=sa;PWD=******;TrustServerCertificate=yes;
2025-08-18 08:16:07 | INFO     | rexus.core.database | Conexión exitosa OK
